item_id,kind,title,description,applies_to,jurisdiction,evidence_span_ids,conditions_required,conditions_excluded,status,version,blockers,details
ANC-REGISTER,followup,First-trimester registration,Discuss registration with the local care team.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 12}","[""IN""]","[""E-IN-REGISTRATION""]","[""pregnancy_confirmed""]",[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""pregnancy_week"", ""start"": 4, ""end"": 12, ""schedule_context"": ""NHM CHO first-trimester registration; no invented exact appointment"", ""dedupe_key"": ""episode:ANC-REGISTER"", ""source_currency"": ""February 2022 programme needs local currency review""}"
ANC-CHECKS,followup,Antenatal checks and tests,Record the appointments agreed with your care professional.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-ANC-VISITS"", ""E-IN-ANC-TESTS""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""pregnancy_week"", ""start"": 4, ""end"": 42, ""schedule_context"": ""NHM CHO programme: four checks; not a maximum or a complete current clinical schedule"", ""dedupe_key"": ""episode:ANC-CHECKS"", ""source_currency"": ""requires current Indian clinical reconciliation before scheduling""}"
ANC-PMSMA,followup,Monthly PMSMA antenatal service,Programme information; confirm local facility arrangements.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 13, ""end"": 42}","[""IN""]","[""E-IN-PMSMA""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""calendar_day_of_month"", ""start"": 9, ""end"": 9, ""schedule_context"": ""second/third trimester at designated government facilities; supplementary to routine ANC"", ""dedupe_key"": ""episode:PMSMA:year-month"", ""source_currency"": ""PIB 8 June 2026""}"
PNC-DAY-1,followup,Postnatal programme contact: day 1,Check locally agreed arrangements; warning symptoms must not wait for this contact.,"{""stage"": ""postpartum"", ""unit"": ""week"", ""start"": 1, ""end"": 1}","[""IN""]","[""E-IN-PNC-WEEKS""]","[""home_birth""]",[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""postpartum_day"", ""start"": 1, ""end"": 1, ""schedule_context"": ""home-birth additional contact"", ""dedupe_key"": ""episode:PNC-DAY-1"", ""source_currency"": ""NHM CHO February 2022; review local availability and current policy""}"
PNC-DAY-3,followup,Postnatal programme contact: day 3,Check locally agreed arrangements; warning symptoms must not wait for this contact.,"{""stage"": ""postpartum"", ""unit"": ""week"", ""start"": 1, ""end"": 1}","[""IN""]","[""E-IN-PNC-WEEKS""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""postpartum_day"", ""start"": 3, ""end"": 3, ""schedule_context"": ""facility- and home-birth programme contact"", ""dedupe_key"": ""episode:PNC-DAY-3"", ""source_currency"": ""NHM CHO February 2022; review local availability and current policy""}"
PNC-DAY-7,followup,Postnatal programme contact: day 7,Check locally agreed arrangements; warning symptoms must not wait for this contact.,"{""stage"": ""postpartum"", ""unit"": ""week"", ""start"": 1, ""end"": 1}","[""IN""]","[""E-IN-PNC-WEEKS""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""postpartum_day"", ""start"": 7, ""end"": 7, ""schedule_context"": ""facility- and home-birth programme contact"", ""dedupe_key"": ""episode:PNC-DAY-7"", ""source_currency"": ""NHM CHO February 2022; review local availability and current policy""}"
PNC-DAY-14,followup,Postnatal programme contact: day 14,Check locally agreed arrangements; warning symptoms must not wait for this contact.,"{""stage"": ""postpartum"", ""unit"": ""week"", ""start"": 2, ""end"": 2}","[""IN""]","[""E-IN-PNC-WEEKS""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""postpartum_day"", ""start"": 14, ""end"": 14, ""schedule_context"": ""facility- and home-birth programme contact"", ""dedupe_key"": ""episode:PNC-DAY-14"", ""source_currency"": ""NHM CHO February 2022; review local availability and current policy""}"
PNC-DAY-21,followup,Postnatal programme contact: day 21,Check locally agreed arrangements; warning symptoms must not wait for this contact.,"{""stage"": ""postpartum"", ""unit"": ""week"", ""start"": 3, ""end"": 3}","[""IN""]","[""E-IN-PNC-WEEKS""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""postpartum_day"", ""start"": 21, ""end"": 21, ""schedule_context"": ""facility- and home-birth programme contact"", ""dedupe_key"": ""episode:PNC-DAY-21"", ""source_currency"": ""NHM CHO February 2022; review local availability and current policy""}"
PNC-DAY-28,followup,Postnatal programme contact: day 28,Check locally agreed arrangements; warning symptoms must not wait for this contact.,"{""stage"": ""postpartum"", ""unit"": ""week"", ""start"": 4, ""end"": 4}","[""IN""]","[""E-IN-PNC-WEEKS""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""postpartum_day"", ""start"": 28, ""end"": 28, ""schedule_context"": ""facility- and home-birth programme contact"", ""dedupe_key"": ""episode:PNC-DAY-28"", ""source_currency"": ""NHM CHO February 2022; review local availability and current policy""}"
PNC-DAY-42,followup,Postnatal programme contact: day 42,Check locally agreed arrangements; warning symptoms must not wait for this contact.,"{""stage"": ""postpartum"", ""unit"": ""week"", ""start"": 6, ""end"": 6}","[""IN""]","[""E-IN-PNC-WEEKS""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""timing_unit"": ""postpartum_day"", ""start"": 42, ""end"": 42, ""schedule_context"": ""facility- and home-birth programme contact"", ""dedupe_key"": ""episode:PNC-DAY-42"", ""source_currency"": ""NHM CHO February 2022; review local availability and current policy""}"
