item_id,kind,title,description,applies_to,jurisdiction,evidence_span_ids,conditions_required,conditions_excluded,status,version,blockers,details
FOOD-MILK,food,Pasteurised milk,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-DAIRY"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""milk""], ""allergens"": [""milk""], ""nutrient_roles"": [""calcium"", ""protein""], ""dietary_patterns"": [""vegetarian""], ""food_safety"": ""Use pasteurised milk."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": false, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-CURD,food,Plain curd,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-DAIRY"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""curd""], ""allergens"": [""milk""], ""nutrient_roles"": [""calcium"", ""protein""], ""dietary_patterns"": [""vegetarian""], ""food_safety"": ""Check milk source and refrigeration."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": false, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-PANEER,food,Paneer,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-DAIRY"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""paneer""], ""allergens"": [""milk""], ""nutrient_roles"": [""calcium"", ""protein""], ""dietary_patterns"": [""vegetarian""], ""food_safety"": ""Check milk source and storage."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": false, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-PULSES,food,Cooked pulses or plain dal,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-GRAINS"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""pulses""], ""allergens"": [], ""nutrient_roles"": [""protein""], ""dietary_patterns"": [""vegetarian"", ""vegan""], ""food_safety"": ""Check every ingredient in a prepared dal; no raw sprouts."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": true, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-GRAINS,food,Whole-grain cereal,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-GRAINS"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""whole_grains""], ""allergens"": [], ""nutrient_roles"": [""protein""], ""dietary_patterns"": [""vegetarian"", ""vegan""], ""food_safety"": ""Identify the exact grain; allergen status is unknown until then."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": true, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-GREENS,food,Green leafy vegetables,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-GREENS"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""leafy_vegetables""], ""allergens"": [], ""nutrient_roles"": [""iron"", ""folate""], ""dietary_patterns"": [""vegetarian"", ""vegan""], ""food_safety"": ""Wash produce and prepare hygienically."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": false, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-EGG,food,Cooked egg,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-ANIMAL"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""egg""], ""allergens"": [""egg""], ""nutrient_roles"": [""protein"", ""iron""], ""dietary_patterns"": [""includes_eggs""], ""food_safety"": ""Confirm thorough cooking and ingredients."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": false, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-CHICKEN,food,Cooked chicken,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-ANIMAL"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""chicken""], ""allergens"": [], ""nutrient_roles"": [""protein"", ""iron""], ""dietary_patterns"": [""nonvegetarian""], ""food_safety"": ""Cook thoroughly and separate raw meat."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": false, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-FISH,food,"Cooked fish, species to confirm",Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-ANIMAL"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""fish""], ""allergens"": [""fish""], ""nutrient_roles"": [""protein"", ""iron""], ""dietary_patterns"": [""nonvegetarian""], ""food_safety"": ""Species/mercury suitability needs a separate reviewed decision; not eligible by default."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": true, ""additional_review_required"": true, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
FOOD-SOYA,food,Soya beans,Qualitative ingredient example for a reviewed plan; no portion or therapeutic prescription.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 4, ""end"": 42}","[""IN""]","[""E-IN-FOOD-PLANTS"", ""E-PREG-FOOD-SAFETY""]",[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""ingredients"": [""soya""], ""allergens"": [""soy""], ""nutrient_roles"": [""protein""], ""dietary_patterns"": [""vegetarian"", ""vegan""], ""food_safety"": ""Check processed-product ingredients and prepare hygienically."", ""quantity_basis"": ""qualitative_only_no_grams_or_calorie_claim"", ""ingredient_detail_required"": false, ""additional_review_required"": false, ""allergen_basis"": ""ingredient identity; cross-contact and prepared recipes are not established"", ""local_example_status"": ""editorial_example_pending_product_review""}"
