profile_id,status,content_priority,blocker
PC00,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
P01,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
P02,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P03,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P04,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P05,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P06,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P07,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P08,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P09,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
P10,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
P11,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P12,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P13,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P14,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P15,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P16,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P17,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P18,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P19,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P20,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P21,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P22,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P23,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P24,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
P25,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P26,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P27,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P28,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P29,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P30,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P31,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P32,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P33,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P34,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P35,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P36,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
P37,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P38,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P39,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P40,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P41,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
P42,draft,coverage_shell,Exact India-local wording and clinical review required. Generic week-42 wellness content is withheld.
PP01,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
PP02,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP03,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP04,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP05,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP06,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
PP07,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP08,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP09,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP10,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP11,draft,coverage_shell,Outside the agreed representative content release; no reviewed weekly content.
PP12,draft,representative,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD0,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD1,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD2,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD3,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD4,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD5,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD6,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
PPD7,draft,day_overlay,"Exact content, licence, clinical, India-localisation and product reviews pending."
